tstamp	src_city_place	src_city_user	src_city	dest_city	tweet	sentiment
Tue Jul 08 01:17:35 +0000 2014	None	None	None	olympia	u"RT @Nabila75020: @KarismatikKenza 28 ans 5 albums Disque d'or/Platine/Double platine des tourn\xe9es a guichet ferm\xe9, 1 Olympia, 2 Z\xe9nith de P\u2026"	0.0
Tue Jul 08 01:17:35 +0000 2014	None	None	None	washington	u'@imaginator1dx anna would you ever come to Washington or Oregon?\U0001f60d'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'YO WET TWITTER FANTASY '	None	detroit	u'\U0001f51d\U0001f6b6#BOSS_UP R #BOW_DOWN #ROLL W/DA FN #FINE$T&gt; @SkandoaCrook @CNiKKi_Moe @DramaFreeDiva @Jobstown12345 #DETROIT  #TFB\U0001f4af #RT2GAIN_FAST \U0001f51d\U0001f6b6"'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	None	None	columbus	u'RT @NYDailyNews: Do you know this cutie? Her ma left her at the Columbus Circle station &amp; jumped on the subway. http://t.co/j1ICf4DdUt http\u2026'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'Los Angeles'	los angeles	san diego	u"Here's a highlight video i created from a random week of camp I did in San Diego. http://t.co/57HFOov5Vs"	-0.5
Tue Jul 08 01:17:36 +0000 2014	None	None	None	los angeles	u'\u201c@balanceandcomp: Los Angeles with @ladisputeband on 8/25 at El Rey Theatre. Tickets on sale this Friday (7/11). http://t.co/HFNvn8t174\u201d \U0001f631\U0001f631\U0001f631'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	u'Maryland'	None	dallas	u'RT @ussoccer_acad: PDA joins Bethesda-Olney and FC Dallas in LA for the #AcademyFinals. #OpportunityKnocks http://t.co/aowCcAYTy7'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	u'Denver, CO'	denver	denver	u'RT @MikeNelson247: Clouds building over #Denver as storms begin to form! @DenverChannel @stormshieldapp #cowx should get busy soon! http://\u2026'	0.125
Tue Jul 08 01:17:36 +0000 2014	None	u'durango'	None	detroit	u"RT @nytimes: Map: Detroit's once-prosperous North End is checkered with vacant properties and lots http://t.co/fAxorEbNSD http://t.co/y9CRY\u2026"	0.0
Tue Jul 08 01:17:36 +0000 2014	None	u'Seminole, FL'	None	las vegas	u'RT @RomeTrav: As soon as I land in Las Vegas first stop in and out burger http://t.co/ESc1jYFQ7b'	0.25
Tue Jul 08 01:17:36 +0000 2014	None	None	None	None	u'RT @telefe_com: Mira LO QUE PASO EN EL PENULTIMO CAPITULO y LO QUE PASARA EN EL FINAL de #AvenidaBrasil aca: https://t.co/PZpCYeqfEt http:/\u2026'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	u'Porto, Portugal'	None	new york	u'Potential buyer of New York City Opera objects to delays http://t.co/4Ro8yUra8e #entretainment'	0.0681818181818
Tue Jul 08 01:17:36 +0000 2014	None	None	None	chicago	u"@thetartag @samzigman there's no way he'll go to Chicago. He would want a championship team not a handicapped PG with a bum as a center"	-0.1
Tue Jul 08 01:17:36 +0000 2014	None	u'Raleigh, NC'	raleigh	raleigh	u'RT @beincarolina: Great points by @TriBizTech: Why Raleigh should top this tech jobs list http://t.co/jPwN9gCwMr #InnovateRAL'	0.65
Tue Jul 08 01:17:36 +0000 2014	None	u'Grande Borne '	None	charlotte	u'AHAHAHHAHAHAHAHAHAHAHA JSAVAI PAS CHARLOTTE ELLE \xc9TAIS LOURDE COMME \xc7A'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	u'Atlanta, Georgia, USA'	atlanta	atlanta	u'#Atlanta #Jobs Front Office Supevisor -Wyndham Atlanta Galleria at Wyndham Vacation Resorts... http://t.co/tcY4H8YqsY #Job #AtlantaJobs'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	None	None	columbia	u'Good luck Clay leaving for Columbia...going to miss you goof!! Do work!!$$$ http://t.co/u6BNa8bN5k'	1.0
Tue Jul 08 01:17:36 +0000 2014	None	u'Cape Town SA'	None	new york	u'RT @stugillard: .@miaomiao0319 we wanted an interesting look and we never shot there before - can you tell what is New York ? #batb #DejaVu'	0.318181818182
Tue Jul 08 01:17:36 +0000 2014	None	None	None	tulsa	u'American Idol Live tickets http://t.co/MIQHMIvChi for Jul 30 at Brady Theater in Tulsa OK #americanidollive'	0.212121212121
Tue Jul 08 01:17:36 +0000 2014	None	u'Bellevue, WA'	None	washington	u'@openroadb4me @priestoso @TheWrldWanderer I really like Winthrop for Eastern Washington! #RamblrChat'	0.25
Tue Jul 08 01:17:36 +0000 2014	None	u'Matarraque city'	None	mesa	u'RT @diogomfd: Tirava aquela mesa onde supostamente estudo do meu quarto e metia l\xe1 um mini-frigor\xedfico, muito mais \xfatil'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	None	None	madison	u'RT @tbhcarterfans: to anyone who ships hayes and madison because I just saw someone say they do in my tl http://t.co/nbPUsTljrS'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	None	None	long beach	u'In the vip line for Guardians of the Galaxy. (@ Edwards Long Beach Stadium 26 &amp; IMAX) https://t.co/3FQ53fAtwr'	-0.05
Tue Jul 08 01:17:36 +0000 2014	None	u'Lagos | Benin City'	None	new york	u'Potential buyer of New York City Opera objects to delays http://t.co/OY0cGWGc0x'	0.0681818181818
Tue Jul 08 01:17:36 +0000 2014	None	u'Atlanta Ga'	atlanta	atlanta	u'La celebracion de nuestra independencia COLOMBIANA en Atlanta DOMINGO 20 DE JULIO \n\n******"SOMOS... http://t.co/0kijpxswVt'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	None	None	None	u'Ver algo que te rompe el alma, tragartelo y hacer de cuenta que no paso nada.'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	u'\u0642\u0644\u0628 \u2665 \u0627\u0644\u0627\u0645\u0627\u0631\u0627\u062a '	None	new york	u'"@GreatOldPics: New York, 1968 http://t.co/EzgpTSzyb0"'	0.136363636364
Tue Jul 08 01:17:36 +0000 2014	None	None	None	washington	u'Watch Baltimore Orioles - Washington Nationals MLB Live http://t.co/sR39OqNn2v'	0.136363636364
Tue Jul 08 01:17:36 +0000 2014	None	None	None	new york	u'Potential buyer of New York City Opera objects to delays http://t.co/TQc33AHIx4'	0.0681818181818
Tue Jul 08 01:17:36 +0000 2014	None	u'wherever marge is/band hall'	None	charleston	u'RT @margaretc96: South Carolina + beach + best friend = happiness @ Folly Beach, Charleston, South Carolina. http://t.co/g8Iq700jMA'	0.85
Tue Jul 08 01:17:36 +0000 2014	None	u'Indonesia'	None	new york	u'#teamfollowback Potential buyer of New York City Opera objects to delays http://t.co/8jHJjdVYzV #followmejp'	0.0681818181818
Tue Jul 08 01:17:37 +0000 2014	None	u'Puerto Rico'	None	chicago	u'#MILB- Los Chicago Cubs dejan en libertad al lanzador boricua Julio Rodriguez.'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	None	None	new york	u'Potential buyer of New York City Opera objects to delays http://t.co/1tjE4YgSFj'	0.0681818181818
Tue Jul 08 01:17:37 +0000 2014	None	u'Indianapolis, IN'	indianapolis	indianapolis	u'#Job #Indianapolis Brand Advocate: Indianapolis The Job Window is seeking an enthusiastic and motivated Brand ... http://t.co/nsSDuZfg1M'	0.6
Tue Jul 08 01:17:37 +0000 2014	None	u'ATLANTA // VA // BROOKLYN'	atlanta	atlanta	u'RT @Clearly___: You do NOT wanna miss this one ... Fuego is the only place to be with the baddest in Atlanta ! \U0001f495\U0001f525\U0001f495\U0001f525 #GirlsNightOutATL http:\u2026'	0.05
Tue Jul 08 01:17:37 +0000 2014	None	u'Pennsylvania'	None	austin	u'RT @Chewster2e: Watch + smile Austin \u2661 water @risingdove https://t.co/zBhAudOfy0 PLEASE HELP US FIND AUSTIN A WONDERFUL FOREVER HOME http:/\u2026'	0.65
